,no_of_the sample,total_timesteps,total_time / km,total_distance/km,Protein / micromolar,Polypeptide / micromolar,Amino acid / micromolar,Heteropolycondensate / micromolar,Polysaccharide / micromolar,Oligosaccharide / micromolar,Humic acid / micromolar,Monosaccharide / micromolar,Inorganic carbon / micromolar,Lipid / micromolar,Pigment / micromolar,Porpherin / micromolar,CDOM / micromolar,VPhenol / micromolar,SPhenol / micromolar,CPhenol / micromolar,Phenol / micromolar,DOC / micromolar
0,0,143,16.435185185185183,315.43699260383204,25.655010298049525,3.1533433133269724,0.40066927708498284,603.8961607550827,28.57813693670409,1.4529495470562712,0.0009793321278549053,0.10255004848815413,15.224751530057977,14.250248666349696,5.105471569011238,0.8342901457848683,69.58873012077547,0.3421566525059762,0.6979484752355448,1.0624745712467771,2.102579698988298,685.5323895880547
1,1,142,16.319444444444443,314.79256139012506,34.99613672344681,4.468958237668175,0.5158967949515587,506.49673014897417,38.84748647056469,2.1607947977929784,0.0007902140356153162,0.15096626944057476,20.216211640606545,20.294242378246427,6.949566703669036,1.1565921780291153,63.19980008349749,0.49332690078780117,0.9725083773454435,1.395845069009938,2.8616803471431824,618.8998412639622
2,2,143,16.435185185185183,314.89475037066734,23.910952664029658,2.8345299595921207,0.3427716442581707,566.8474665918773,26.409954242592978,1.3304110702774683,0.0009884402151587096,0.09751828035976602,13.300566471812317,13.99954299089355,4.7566761740837356,0.731445103879222,65.19186120825727,0.3109294268183909,0.6268976502014827,0.9648941493547243,1.9027212263745978,643.1649783884336
3,3,144,16.550925925925924,312.57067982160805,23.465158655634067,2.8948962180032796,0.34947651925869416,599.0531074199037,26.022830187403578,1.3890347268228882,0.0010097281658344164,0.0971366156300638,13.545646968158731,13.530962253348587,4.634594123664422,0.7831742447197286,68.29668773917706,0.3101115644690835,0.6223020522202655,0.9678674840352961,1.9002811007246452,674.1216617932794
4,4,142,16.319444444444443,314.35870671515187,31.58245536938235,3.978274278336307,0.46653097264839904,589.2515237333997,35.13806742294516,1.77774466122057,0.0010056366445900394,0.12424736610901858,18.350500596991292,18.58193389143515,6.339841808902394,0.9683295362516162,70.22654385206101,0.43366325845428993,0.8390202672682334,1.2575425246677914,2.530226050390315,690.7401807276656
5,5,142,16.319444444444443,311.80424417453025,28.60003753476784,3.41812347981668,0.4410932880968536,571.7310258714067,31.696847731430548,1.6504253778099902,0.0008827718880488562,0.12031195728546772,16.100772416492674,16.927141487390227,5.668070827538563,0.9244223208910796,67.39621330399261,0.3758791932888066,0.7861726643843504,1.173141520949645,2.335193378622802,663.513576026945
6,6,140,16.087962962962962,316.4370368716718,19.267436597107153,2.4867040024416527,0.303532119304245,592.2163742885191,21.58397417782866,1.107387581832699,0.0009314562389235575,0.07936631549382646,11.530688727958735,11.043116118370005,3.8775768419852086,0.6081517820433716,66.1575238345653,0.2672716821594279,0.5332940275510053,0.7855376902110469,1.5861033999214802,654.1606546810863
7,7,143,16.435185185185183,311.67965835437934,30.876666417057127,3.9717527358614255,0.47504597565636303,538.9774049890743,34.5337058151253,1.792447481389975,0.0008399566270542272,0.1291550511114641,18.394793663638783,17.709948274919704,6.1591932030449765,1.0245115836777126,65.01519693953428,0.41464987352033766,0.8402435632708388,1.3090005395677569,2.5638939763589335,638.2145654599043
8,8,140,16.087962962962962,316.5630605936536,26.345982044722025,3.4782175072171264,0.44765554492899007,580.0815434549481,29.592106371066524,1.569470749003953,0.0009116700673683294,0.0998544422323646,15.492460396536861,15.66604247109387,5.342163340232468,0.8204903901035958,67.51673698370821,0.36461765505138105,0.7255159891581191,1.0654139418666524,2.1555475860761524,665.5999855716925
9,9,140,16.087962962962962,313.5060179137646,23.057612152638413,2.8534646469223515,0.38800985498927676,539.5371935232555,25.82446262111177,1.2277146140086286,0.000816829620279953,0.0846622114612015,12.64186931158845,14.204185391976422,4.6158392195224405,0.7322683243747092,62.240219743985875,0.31174312868051757,0.632381649615631,0.9729407747321345,1.9170655530282832,614.4432949429092
