,no_of_the sample,total_timesteps,total_time / km,total_distance/km,Protein / micromolar,Polypeptide / micromolar,Amino acid / micromolar,Heteropolycondensate / micromolar,Polysaccharide / micromolar,Oligosaccharide / micromolar,Humic acid / micromolar,Monosaccharide / micromolar,Inorganic carbon / micromolar,Lipid / micromolar,Pigment / micromolar,Porpherin / micromolar,CDOM / micromolar,VPhenol / micromolar,SPhenol / micromolar,CPhenol / micromolar,Phenol / micromolar,DOC / micromolar
0,0,168,19.328703703703702,373.234428520413,19.57871919608202,2.8647559387810984,0.44863727160591554,261.0248188746188,22.593218218852492,1.3137632905623566,0.00044870978904502207,0.10472661326411084,12.197337781110427,10.526415470523085,4.001304244138989,0.7169044982166639,33.27548948626203,0.25722590557533,0.47537495657956624,0.7732383403793287,1.5058392025342249,324.67955152896883
1,1,148,17.01388888888889,371.4911358239084,22.705734386605435,2.946977451206705,0.3880852495425761,352.81691686454917,25.48054707113139,1.3807250670262823,0.0005328564253289944,0.09907831318754329,13.754913536933888,12.451603636073344,4.501530448644407,0.8030585341395463,43.47390478117118,0.3047079854423055,0.6403274287721573,0.9248151108514864,1.8698505250659492,425.44464040359765
2,2,134,15.393518518518517,368.3971629043243,20.040089507850304,2.3852604125466406,0.25393943752286613,377.899615291395,22.175687455634915,0.9975445614593033,0.0005967894259217318,0.07180707788668264,10.900578747339328,12.295447477874946,4.021955771056546,0.5631830012766171,44.94275435947728,0.29047290662525904,0.5478079033834876,0.8697346664142263,1.708015476422973,442.41314226035263
3,3,123,14.12037037037037,367.62392420185216,12.213643049757348,1.307784905529372,0.15086179327332028,252.13825950743114,13.395657285474774,0.5435215066104134,0.0003426402737646582,0.03344241672492438,6.984486422422874,7.194225392898722,2.3864076457721612,0.3728602613126328,29.544445360421964,0.1707856677915246,0.3526537284392695,0.537127869279273,1.060567265510067,290.7975736705687
4,4,183,21.064814814814813,373.92082110725863,9.573641477578978,1.433594219546971,0.2089774300600699,454.7628997583081,10.950386489203462,0.7589080328062936,0.001022386295477798,0.07533728246668696,6.305268017367275,4.669934813324344,1.8715493388011735,0.43297181892865144,48.96709341231192,0.11307684124680721,0.24476629123934673,0.335848173554403,0.693691306040557,485.43291435336073
5,5,154,17.708333333333332,370.61625706289317,19.271407877907524,2.9091541765376348,0.3722933804172748,327.69462284672437,22.03349768744065,1.2638130575813178,0.0005728345157107669,0.0931952194801601,11.658803570700433,11.420718932222073,3.9275606054792687,0.6786796650534382,39.80335467457651,0.24716953429257638,0.500604064603907,0.7689274058932581,1.5167010047897416,391.18221728814916
6,6,477,55.09259259259259,373.7324179588611,6.054982525441867,1.45478279028307,0.3038012083794218,315.1529215148091,8.456560186581443,1.2802945834569535,0.0015780967270169987,0.2881354636655327,3.669082238300598,1.1291206106472464,1.1900274740556387,0.6116045417987579,33.98800844220341,0.03657596605678792,0.055271126117427564,0.10689843001945863,0.19874552219367414,336.12255451803975
7,7,130,14.930555555555555,368.337059478029,14.443726106413612,1.5680885070129333,0.1708037167339284,358.69221208874916,15.699059692318452,0.8082146990212139,0.000509632804904412,0.05428300499204842,7.778418226446456,8.880483885986642,2.8445926377158797,0.4237032065945278,40.97292320633525,0.20229270997504384,0.4002356691639634,0.5824217496748304,1.1849501288138375,404.77062730715716
8,8,138,15.856481481481481,369.33894554238873,33.96846849018255,4.378913649884329,0.5809726100297662,489.9957669258652,38.251390318937695,1.817707152739604,0.0008124003182604892,0.12752028394136072,20.643152305051693,19.758162771343095,6.794991968046459,1.1212485902673743,61.2369935528447,0.451015235074103,0.9504539008183238,1.3995292063078295,2.8009983422002565,599.596953503756
9,9,122,14.00462962962963,366.6644612508446,12.529490445285731,1.4918055992848034,0.14546340976164293,330.02459817402456,13.794955987355392,0.6432915685519575,0.0004308392685754212,0.03605163799266767,7.228620182910448,7.414972258156024,2.5021403174146397,0.3593684892534507,37.47195455760449,0.1849590194487396,0.37022282247101473,0.5206875187025951,1.0758693606223493,370.0184380869717
