,no_of_the sample,total_timesteps,total_time / km,total_distance/km,Protein / micromolar,Polypeptide / micromolar,Amino acid / micromolar,Heteropolycondensate / micromolar,Polysaccharide / micromolar,Oligosaccharide / micromolar,Humic acid / micromolar,Monosaccharide / micromolar,Inorganic carbon / micromolar,Lipid / micromolar,Pigment / micromolar,Porpherin / micromolar,CDOM / micromolar,VPhenol / micromolar,SPhenol / micromolar,CPhenol / micromolar,Phenol / micromolar,DOC / micromolar
0,0,171,19.675925925925924,314.0089889252753,44.029633754271266,6.520717097073219,1.0329439727929879,589.3154010132338,50.93967227365673,3.0115343873032567,0.0010305124554004668,0.2444935902796865,27.65122377471473,23.409919351422968,9.002492807344394,1.6417994163866654,75.08751167651727,0.5741545933742153,1.0595808947191632,1.726009893833006,3.359745381926384,732.5093835581469
1,1,255,29.398148148148145,316.1788358331294,36.59195143263454,6.782323091692866,1.2163055370204676,649.0063268543176,44.658753974689866,3.9985005534009916,0.0016558107761953287,0.5040623019048756,26.542461100607827,12.958687901835138,7.229828247785478,2.2343134871454677,78.78245552090162,0.3683759621306068,0.8025104148338429,1.1275559178095866,2.2984422947740364,767.4811514879774
2,2,187,21.527777777777775,316.418755013,30.406517199333518,4.646273678432351,0.6078544333194128,610.1376671516919,35.032324577645404,2.1463247960370566,0.0013328597503687025,0.21830611527915159,19.555930514278757,15.355652087343687,6.120826210885744,1.1922902165969158,72.11510583764047,0.38829183088308666,0.7153463090899849,1.1617284511035342,2.2653665910766057,708.1307359173923
3,3,123,14.12037037037037,310.71874404769414,27.688470979679433,2.9647636054937925,0.3420054416174961,571.6003695864592,30.36811101254251,1.2321695829249777,0.0007767694894923783,0.07581434803736226,15.833912029962493,16.3093927177204,5.410013914477413,0.8452785530714872,66.97760157556107,0.3871730970952803,0.7994701078119717,1.2176751326633604,2.4043183375706123,659.241484849084
4,4,149,17.12962962962963,314.2461078583261,18.027484545937,2.3308750568957115,0.2986271744424864,822.804019436119,20.108813355366678,1.1515411971893483,0.0015153763266651298,0.09230112265528574,10.807814974497227,10.055666339912488,3.536546105232643,0.6639411599110909,88.75687683471571,0.23476405124188768,0.5007176332754832,0.6985764105322381,1.434058095049609,880.505388965038
5,5,120,13.773148148148147,309.98438757023763,30.390503767224565,3.7698814096135713,0.4032228649443679,493.80920240546294,33.72727341485886,1.5257119415848122,0.0006766220361710923,0.08690418155932325,15.748415894005417,20.230715032671352,6.16221118675546,0.8275710067090092,60.275811327493344,0.4298369276890248,0.8681359185861984,1.3264469014827178,2.6244197477579414,593.5582935811785
6,6,118,13.541666666666666,307.24629859583774,13.23740950017169,1.3576824149198312,0.1405160998758595,463.6345513898289,14.37022715088157,0.6118251173436919,0.0006135241771710209,0.03217082594748284,6.319272998672553,8.760410454522075,2.6280534746296333,0.33927030301639094,51.03400246546291,0.19665123596754738,0.36711849472912605,0.5861775384452348,1.1499472691419084,506.26267752445625
7,7,113,12.962962962962962,311.19532937319076,20.895430917568298,2.0303754344429708,0.20076981999991342,509.22201858862576,22.463422422433904,1.0117365531190554,0.0006302465296785578,0.058771444135607934,10.313417749115773,13.697676081476283,4.1213600699934405,0.5331530729102403,58.260701914619055,0.30655601167773944,0.607384971764958,0.8874039289693131,1.8013449124120107,576.0366895636472
8,8,131,15.046296296296296,314.0377794230741,35.92275224657864,4.453170570545983,0.569400267194262,513.4535529890753,40.20738548068165,1.8189043869599755,0.0008089896570151783,0.12091128826705953,21.16348044640488,21.481486242385728,7.184357845948695,1.1250021070011649,64.24320414336734,0.4869507010943012,1.0234449402133552,1.5084336521834656,3.0188292934911223,629.3565617077866
9,9,136,15.625,311.86943436866545,28.299448945432193,3.677307087882436,0.38601858044197257,758.4360098069212,31.506469316533313,1.6303448055067924,0.0011016119352825642,0.10223857854268666,17.36989483451835,15.76138263918299,5.653084827891861,0.9066057606805566,86.00508769745139,0.40351994747742276,0.8077818031084985,1.1276413816674111,2.3389431322533323,848.6989550932047
