,no_of_the sample,total_timesteps,total_time / km,total_distance/km,Protein / micromolar,Polypeptide / micromolar,Amino acid / micromolar,Heteropolycondensate / micromolar,Polysaccharide / micromolar,Oligosaccharide / micromolar,Humic acid / micromolar,Monosaccharide / micromolar,Inorganic carbon / micromolar,Lipid / micromolar,Pigment / micromolar,Porpherin / micromolar,CDOM / micromolar,VPhenol / micromolar,SPhenol / micromolar,CPhenol / micromolar,Phenol / micromolar,DOC / micromolar
0,0,152,17.47685185185185,855.9765029751649,12.51444743963434,1.7073896822361156,0.2501675142365911,163.38249734124284,14.244486852468466,0.7539267993625872,0.0002549260099990416,0.054199042023499205,7.426834243187663,7.14050008745534,2.551291642214993,0.41349121407082146,20.885785962306088,0.171102993296104,0.31861501145857885,0.5142475344348696,1.0039655391895526,204.01661808014515
1,1,219,25.23148148148148,856.518345185264,11.149894096665367,1.887878365779212,0.3137939308122178,189.1769438512929,13.2290588961263,1.0319136232298391,0.00041735883237989667,0.11106600329118484,7.849301986259377,4.574489062415411,2.2055242938833968,0.5844888970419295,23.075858012943506,0.12364585514685435,0.26611939181939875,0.3773893809802624,0.7671546279465156,225.03262300731663
2,2,202,23.26388888888889,852.6907268156679,7.374746378464732,1.1892731731977124,0.16234372129452954,150.60038316230674,8.594274641036694,0.5647891505365905,0.00035443494240461055,0.06224566589471343,4.8884463568283625,3.5246937074152336,1.4857988156205464,0.31229454418787256,17.770151424215314,0.09085912537569824,0.16628377374718478,0.2717816776339279,0.5289245767568109,174.40012197165456
3,3,181,20.833333333333332,858.6751538127094,8.796033671648733,1.2515247995952192,0.18786117292270388,194.17526172529557,10.080418488172324,0.5875183720898447,0.00038456298018643427,0.05394408558102282,6.105056855330273,4.0285377011494585,1.7029861721762154,0.39446374898362246,22.611144067067073,0.10395469082132525,0.21793836392908064,0.3343633277126331,0.656256382463039,221.9151908830579
4,4,303,34.9537037037037,858.0013708749452,5.8414491869699,1.1883193259569964,0.22353016477316656,319.38145344983127,7.300404555644298,0.7940518888169618,0.0011612236583546233,0.13378102796296193,4.301911896935075,1.7749823424819433,1.127923816731933,0.43616362417364846,34.18689529210677,0.04888439134856825,0.11147953465083181,0.14423482406442403,0.3045987500638241,338.50781935706533
5,5,373,43.05555555555555,857.3458204585945,5.914161081448972,1.5659838686607046,0.32295162350116835,134.44517500506578,8.19079568117888,1.0461420326350084,0.0005445943410214446,0.194382560687604,4.713072474158633,1.6574356617280543,1.2454966989291858,0.5258425987701041,15.891774645941496,0.04039481186547125,0.08330169210468336,0.13236937357750742,0.256065877547662,155.36497728449413
6,6,237,27.314814814814813,855.8407087374138,4.325551220619598,0.7335293779660863,0.1174578750576866,172.84002461184247,5.1047244095727695,0.4189550851787477,0.0004501814718189141,0.045299495475087014,2.8175234541772816,1.8811341603818132,0.855890947752931,0.22127197045638847,18.883447833527086,0.04768596986927194,0.08299813460306611,0.14121690180510757,0.2719010062774456,186.81619034205283
7,7,187,21.527777777777775,856.0734061894686,5.817125772290436,0.8244734424629111,0.11221462275706574,153.8626422291023,6.5598774036525365,0.4747195512292953,0.0003117588770619959,0.04649165156032439,3.7693982220825872,2.884868890118908,1.1399223733132577,0.24454921156120563,17.485827767100226,0.06973045060929087,0.1373041751555738,0.19714531995176998,0.4041799457166346,172.37137685264196
8,8,166,19.09722222222222,855.7260161696972,10.928846085501496,1.609862127784204,0.24197357628140698,163.53061045525936,12.609146171615977,0.7123989803668233,0.00032463655956456233,0.06051661966471379,7.344257619327152,5.690473178830483,2.1880931342413983,0.4347340128286176,20.344449624760216,0.13356386221381342,0.2844921209297824,0.41732833083856413,0.83538431398216,198.84236329291616
9,9,153,17.59259259259259,850.4933563980817,8.410303237086062,1.1982708131569808,0.13571973146257918,230.18829936357028,9.490832350633527,0.549336752429916,0.00037518385511766837,0.03891622865178693,5.486723322871954,4.351306493649209,1.6806456325059835,0.3037747351324747,26.063277066431876,0.11497873360940024,0.23019550045782455,0.318451337835158,0.6636255719023828,257.0114060940363
