,no_of_the sample,total_timesteps,total_time / km,total_distance/km,Protein / micromolar,Polypeptide / micromolar,Amino acid / micromolar,Heteropolycondensate / micromolar,Polysaccharide / micromolar,Oligosaccharide / micromolar,Humic acid / micromolar,Monosaccharide / micromolar,Inorganic carbon / micromolar,Lipid / micromolar,Pigment / micromolar,Porpherin / micromolar,CDOM / micromolar,VPhenol / micromolar,SPhenol / micromolar,CPhenol / micromolar,Phenol / micromolar,DOC / micromolar
0,0,121,13.888888888888888,457.5970108545141,66.8208995058302,7.698457813324109,0.9588382314843872,837.5703116768614,74.0632025213763,3.1556854187622236,0.0010463925644959206,0.17928219438849854,34.87140599465888,42.78158925490771,13.557818350265778,1.747675055425221,107.6643014088387,0.9869769951916371,1.8650233863155357,2.965232602973251,5.817232984480424,1054.3520393996703
1,1,160,18.40277777777778,472.1389241112381,44.781791482928455,6.148936742959873,0.8515530672429097,706.2986107809568,50.72969674402544,2.9583314400108467,0.0011508172778032795,0.23008863966025464,28.154769218516293,23.382578482423,8.874826490378021,1.7129765426419,86.87641085991207,0.5819004730072178,1.227781611385269,1.7677954928911916,3.5774775772836787,849.5480188077889
2,2,137,15.74074074074074,471.4188567701683,29.820295550324456,3.6115863681378126,0.3902156391082767,564.3118865218418,33.073590945941866,1.5190448493939288,0.0009107096927447037,0.11188366487790656,16.429121089409836,18.095524145927122,5.985817705715076,0.8568259504475743,67.08821937518277,0.4291448395155445,0.8082602191062485,1.2848904316918826,2.5222954903136756,660.2998775417224
3,3,140,16.087962962962962,472.76526033665186,33.43576386498568,3.9539938026873664,0.5005822056091022,703.9710488791522,37.146712053803434,1.7037670019449207,0.0010860060817869288,0.11986570059218218,20.569886406757423,18.29448671439794,6.51546658505056,1.1614801986989098,82.33405535615921,0.4450476755982259,0.9230726647168719,1.4089320778543633,2.777052418169461,809.5813054311736
4,4,183,21.064814814814813,474.30510461289145,13.698329853531613,2.0512410603072597,0.2990128443404058,650.692029843298,15.668228907888684,1.0858744382920356,0.0014628691439912587,0.1077954452247086,9.02181696683532,6.681920105032459,2.6778838794097726,0.6195125237202941,70.06397712943935,0.16179463935659144,0.35022090625332836,0.4805443229547142,0.992559868564634,694.5758516387539
5,5,132,15.162037037037036,465.19652996207185,37.35256260124759,5.002045486330027,0.5740834867284941,616.7549561389211,41.891517176562715,2.075907177438329,0.0009277463896885134,0.13049931900302253,20.59396750372039,23.865611099438787,7.5875113545075115,1.1220401793518808,75.15045837934082,0.5103777790313598,1.0318218848080642,1.5794820678713621,3.121681731710786,739.4793434976299
6,6,249,28.703703703703702,474.0510656219492,13.353536991116142,2.334501708888732,0.3831861782233261,540.7004623153979,15.892223197306402,1.3644284681266596,0.0014763185149849888,0.15529349453731042,8.788764488424842,5.566562393968692,2.6413542049013192,0.7170659495158733,59.03194242525915,0.1428506307503782,0.24688295887311268,0.42275835034791226,0.8124919399714032,583.9225831604687
7,7,151,17.36111111111111,472.8457174779541,17.983210215737447,2.187570221482854,0.2625237707343843,457.09840279341284,19.813159168444262,1.1749827025549713,0.0007521058501904817,0.09216436640807729,10.533808921959876,10.214950694197624,3.53514397571423,0.6120342184508512,52.11328707736661,0.2378306081215622,0.46972004490767894,0.6801692932934907,1.3877199463227319,514.3626141793106
8,8,175,20.13888888888889,474.6030846232742,32.72640366201528,4.999660677970537,0.7772849918196736,495.4803707229955,38.05375742053471,2.257901703660437,0.0010353329219238666,0.2025967343070917,22.565573212151776,16.444200286563355,6.554075521178476,1.3730819801162022,61.55347746640442,0.38944068903528034,0.8323662968787356,1.2195340038091953,2.4413409897232112,601.3117100238063
9,9,126,14.467592592592592,472.0970093676432,24.610359272410257,3.0079966949364345,0.29990746098368654,651.4522245119746,27.182302994824937,1.3074490651114186,0.0008778706095438868,0.07575967542832482,14.469735898021403,14.314055841034817,4.915108849730681,0.7294371685684701,73.94059774326597,0.3597150501330085,0.7200424579990703,1.0105253601355475,2.090282868267626,729.9857622738808
