,no_of_the sample,total_timesteps,total_time / km,total_distance/km,Protein / micromolar,Polypeptide / micromolar,Amino acid / micromolar,Heteropolycondensate / micromolar,Polysaccharide / micromolar,Oligosaccharide / micromolar,Humic acid / micromolar,Monosaccharide / micromolar,Inorganic carbon / micromolar,Lipid / micromolar,Pigment / micromolar,Porpherin / micromolar,CDOM / micromolar,VPhenol / micromolar,SPhenol / micromolar,CPhenol / micromolar,Phenol / micromolar,DOC / micromolar
0,0,1078,124.65277777777777,583.2100126103743,10.581224856244768,2.9751159828470564,0.8385571913951643,449.5892746964899,26.64588907872076,7.024081407246397,0.004114058405817281,4.022599453449107,3.1751553545571447,0.19340989722961646,2.4873974611110006,2.8052447088234826,51.334590634975605,0.014396178712611566,0.01729891439421519,0.04375493649211915,0.07545002959894591,507.24235882156205
1,1,185,21.296296296296294,577.9669607367638,37.520131938442006,5.696590773344229,0.8619612946839044,610.3940196797959,43.345199795326764,2.8945994562143817,0.0011447995443777052,0.2615939873934155,25.049739674780618,17.688165783555327,7.429788467454546,1.6605372317003877,74.81020678010351,0.4558718535695795,0.9699953706636157,1.3876658640237567,2.813533088256952,730.5672662957119
2,2,193,22.22222222222222,580.445140563373,23.85801767185797,3.727639845068276,0.4963541812835531,482.10718097232365,27.61344412490818,1.7411706143898105,0.001085815534352757,0.18300856982537295,15.541845437710295,11.785961680118575,4.8042494109488425,0.9654403811897261,56.94391924671752,0.30032942609012664,0.5518299484740985,0.8984757471351303,1.7506351216993554,559.0341883891475
3,3,255,29.398148148148145,580.5516670533672,24.365560755990067,4.307907283227339,0.7848942979090248,585.6366096534875,29.532651922299685,2.3482025534504003,0.0016117580832542236,0.30809465554830834,18.645602203595814,8.094927500860193,4.662607743456199,1.533370102335739,67.69053800368953,0.23234492026032233,0.4966311382727253,0.7690333867694495,1.4980094453024972,663.0744476719503
4,4,152,17.47685185185185,578.8820721879154,17.201588213384124,2.257063637013921,0.2929835785204464,787.8821199767534,19.23010736693385,1.1219559099809655,0.0014795070749335237,0.09181235582728611,10.417363716871314,9.482115996852219,3.3734836942645936,0.6462839376498983,84.97599174290919,0.22208735811072258,0.4742980107563337,0.6607458189539319,1.3571311878209882,842.9381253620766
5,5,162,18.63425925925926,578.7098231339762,29.649017934833786,4.6500014890792505,0.6158511339434294,509.568292262145,34.136727272403014,2.0537123480405666,0.0009356409984394725,0.15960212516184613,18.452048668361837,17.096591254671882,6.049785082159715,1.1002559002438559,61.82517441056134,0.37161693431105836,0.7531490143425114,1.1582716527400194,2.2830376013935894,607.3638100450745
6,6,326,37.61574074074074,583.0972306009611,16.83842654515317,3.4246642363325868,0.6332196002964515,742.2626148890399,21.152359050288272,2.3120606981706895,0.002614947791866545,0.3484800091161113,11.304080512276556,5.349405707211692,3.3234631754072264,1.176885898311629,80.68483719234297,0.14851298718096906,0.24529131622308173,0.4376622881256753,0.8314665915297261,797.6556613486493
7,7,137,15.74074074074074,576.7074520933053,22.810043980197495,2.5785426802173315,0.2907895456587803,570.869734499767,24.904885880353927,1.3474926664777436,0.0008539474487702188,0.0955565683566436,12.665323533793611,13.659057438909906,4.489520674231165,0.7049083154485979,65.1674668228075,0.3134201805148814,0.6197375025024942,0.9003574234410424,1.8335151064584179,643.5849013035257
8,8,140,16.087962962962962,571.8106487060134,53.57279699330288,6.980416244333261,0.9355059948040715,774.8160622135418,60.43220554580361,2.9109741968771514,0.0013028301731967957,0.20728225382198862,32.83103668853179,30.915725860871003,10.717274116879253,1.79425046716159,96.80032766288329,0.707111819203281,1.4912809569778438,2.1952955818733426,4.393688358054467,947.6774850756244
9,9,173,19.907407407407405,577.6780918087024,22.81057758264412,3.565871199141242,0.4351790960332062,639.9353192202675,26.15386372754541,1.699825481976839,0.001175644498091032,0.13676945781499794,15.737974393428674,10.821499973860362,4.5602164065609925,0.933802565640358,72.33106695683142,0.2967801824161331,0.59425566031411,0.8133832613269923,1.7044191040572354,712.7585194600404
