,no_of_the sample,total_timesteps,total_time / km,total_distance/km,Protein / micromolar,Polypeptide / micromolar,Amino acid / micromolar,Heteropolycondensate / micromolar,Polysaccharide / micromolar,Oligosaccharide / micromolar,Humic acid / micromolar,Monosaccharide / micromolar,Inorganic carbon / micromolar,Lipid / micromolar,Pigment / micromolar,Porpherin / micromolar,CDOM / micromolar,VPhenol / micromolar,SPhenol / micromolar,CPhenol / micromolar,Phenol / micromolar,DOC / micromolar
0,0,622,71.875,2613.1499163829585,16.64970697190742,4.252609896315408,1.109895099197683,413.6949243946243,28.683080096187318,5.255693362600334,0.0026248142289035164,2.100391656944249,9.650214871347481,2.2602456582974026,3.6418158859787746,2.361571118707979,49.191964629941545,0.08357094424651941,0.13115500834375238,0.2522876492328231,0.46701360182309487,480.47957255681274
1,1,299,34.49074074074074,2613.112437088807,22.212429806876724,4.963220348821791,1.03521397636475,457.3679170147121,29.81624448337615,3.752346828843913,0.0016882903765904316,0.7230761533383792,15.71226707305365,4.895227962347568,4.371899627741611,1.9975594275167927,54.66938074971249,0.1630682690302296,0.3692687669309018,0.5036842134182691,1.0360212493794005,532.1728451696957
2,2,653,75.46296296296296,2609.0000211270576,12.00345497677961,3.345104881666461,0.6645278759180613,413.5102224998908,19.688091923904757,3.369463087094936,0.0029247494410623415,1.3484870947606253,6.587824247209029,1.3102601545519326,2.479801338135469,1.5934610205054358,46.72409690336728,0.054618923754028596,0.0843408042004243,0.16245480858899705,0.30141453654344996,459.6172141391927
3,3,262,30.208333333333332,2600.335204051951,14.878419420874264,2.8867593593426704,0.57462852891535,382.4795744076389,18.84261704159771,1.7903883660538706,0.0012876289888634,0.30599780316188707,11.292173608882308,4.040694172521146,2.8221609943063295,1.1374833527509975,43.96015042850011,0.1228618444287491,0.26563701246019633,0.4136426539942622,0.8021415108832076,430.5621525870353
4,4,253,29.166666666666664,2608.9625881642432,8.573751550945993,1.84007783151798,0.36275134477491416,503.7946984222922,11.181763325879519,1.4053348924910847,0.0022159763923221415,0.32624989486188943,6.104118114775977,2.275999868818451,1.6467915073011974,0.7474904008688695,53.7640167552052,0.06437791059834415,0.14865582503066496,0.1896627786476796,0.40269651427668873,532.5598215304209
5,5,502,57.98611111111111,2608.804458892777,13.480521580562263,4.058645471576213,0.9241517639562898,375.3508585839701,21.334485856972055,3.6202425623656356,0.002098763308861625,1.0101848270157079,9.916220280447508,2.40841775179975,2.902924622648655,1.724932347122647,43.644307859573246,0.06257731209543832,0.13033684112368948,0.21106425086786987,0.4039784040869977,427.22144253538517
6,6,385,44.44444444444444,2609.5630042397015,7.810148570296541,1.8530939654688807,0.3849773623500452,427.9721203287444,11.22161948739473,1.8125898230952078,0.0023809448980484896,0.5067414374797717,4.506103488381146,1.5297758804704422,1.5337414412844217,0.8307623834626638,46.02867358248864,0.047601247769720294,0.07347039031292264,0.13936129475814896,0.2604329328407919,455.7183845577859
7,7,333,38.425925925925924,2612.153930361575,12.134106102055027,2.5460039424845027,0.46513671083702185,396.6625083000021,15.48925485536443,2.0915143133731893,0.0015844284337437665,0.44266733777280126,8.654352708751484,3.0177572052134964,2.338367728614519,1.010793976659809,44.39127276988873,0.08774847169716787,0.17020341128026792,0.2343197061397614,0.49227158911719715,436.69196648992784
8,8,415,47.916666666666664,2610.6201785588087,22.0600666428467,5.4431759680647955,1.297471533547243,479.12231390207353,32.64417643073393,4.4401815169870735,0.0024882280253176667,1.1268511799264198,17.073861200370956,3.9774070219805577,4.455907813627726,2.4021753686619265,57.24214262396039,0.1204720938624423,0.283576627854796,0.40147063336978367,0.8055193550870219,557.7777349615623
9,9,317,36.57407407407407,2611.398345888225,12.194332266538604,2.9928759149693525,0.5078097612760449,429.14039856590483,16.18266283902085,2.02903200725528,0.0015828538808913284,0.35747981213787466,9.32941317661754,2.7012449697907193,2.447336247220075,1.0450896732743142,47.811113404908724,0.10193343115442863,0.20434852843004495,0.25497380153671373,0.5612557611211872,470.16110067239
