,no_of_the sample,total_timesteps,total_time / km,total_distance/km,Protein / micromolar,Polypeptide / micromolar,Amino acid / micromolar,Heteropolycondensate / micromolar,Polysaccharide / micromolar,Oligosaccharide / micromolar,Humic acid / micromolar,Monosaccharide / micromolar,Inorganic carbon / micromolar,Lipid / micromolar,Pigment / micromolar,Porpherin / micromolar,CDOM / micromolar,VPhenol / micromolar,SPhenol / micromolar,CPhenol / micromolar,Phenol / micromolar,DOC / micromolar
0,0,146,16.78240740740741,467.79013308903615,23.54280717691997,3.2306067379874146,0.4207473794192816,753.7225161084011,26.633967098528124,1.4492568650303002,0.0011341663764167036,0.1123427973533688,13.72455934257686,13.984518613622742,4.766031970408901,0.7921025331270407,83.91666062332571,0.32582912313985457,0.6140715581093645,0.9752320195315765,1.9151327007807954,830.5711641479556
1,1,144,16.550925925925924,469.6982031409436,12.530078946723572,1.7152437916528447,0.2359104612512256,512.7208862107034,14.210335211988877,0.7550868712285704,0.0007935020410368476,0.056798948650624875,7.354774655465355,7.581046570657446,2.570342247185959,0.3882292744242503,55.82591772274864,0.16492172304875471,0.3454435061701545,0.5267550295560602,1.0371202587749695,553.8018722952828
2,2,184,21.180555555555554,472.7594100217652,28.25888883155591,4.57174690781298,0.6037350912967956,657.8063079640413,32.84809905541626,2.0156041492328884,0.0014168769177647829,0.18220292605732769,19.188316610029844,13.514078689453445,5.613097808200207,1.2502367264921386,76.12761887123283,0.3406765698319355,0.672955640723162,0.9795940227199745,1.993226233275072,748.6586412597521
3,3,156,17.939814814814813,473.3540406715328,13.800777101358873,1.8846915942300653,0.24695713686076895,470.94237605181036,15.501941673748723,0.938529023091835,0.0008392440129264761,0.07739641971111977,7.930921978505724,8.122697031597363,2.752571835007285,0.495241285160015,52.081491501959775,0.18527344276486615,0.3765199442944844,0.5271856022604949,1.0889789893198456,515.8529973859091
4,4,126,14.467592592592592,466.8860909231274,15.444909514748508,1.7030413629781649,0.2146934295049946,597.5582261666436,16.971730444006216,0.7746133347844975,0.0007711105266998932,0.05088532281198996,8.31707554111616,9.544827299112011,3.0529435391339566,0.45967455441593824,65.2377935407134,0.21657436213397777,0.43739916072313256,0.6334867166104143,1.2874602394675247,647.063776318134
5,5,131,15.046296296296296,471.0074181140222,50.486751143586865,6.3280383849112,0.687757500702435,698.6928511093922,55.84354945266425,2.8749274210146085,0.0010377254921590544,0.18082147520825223,28.760800557846693,30.197204901177606,10.128597886382718,1.4993798817148256,87.94833563664537,0.7170908201696088,1.4836963834382224,2.0489026244221513,4.249689828029982,861.1706067102772
6,6,123,14.12037037037037,467.26409548829713,30.79515741153906,3.723590847574842,0.41815360053089945,497.0077828065667,34.00386241827683,1.6479661752704302,0.0007351961249813323,0.10053390449812495,18.15545455760461,18.240710599840572,6.200088127194937,0.8629810720304704,60.68585936413262,0.424143026865047,0.8476563132014635,1.2812192753778273,2.553018615444338,595.5545807748922
7,7,127,14.583333333333332,471.9343401996676,45.900812026255814,5.956981277047738,0.6196997855439362,838.8864454739529,51.27263510224753,2.364936991704263,0.0012376879483554767,0.13898073654719456,23.353984362008564,30.25970805771015,9.172083616410378,1.441370820453494,100.4104590063393,0.6625810572192691,1.3677060078708605,1.9644972362872388,3.9947843013773685,990.009675877199
8,8,124,14.23611111111111,470.4725304962278,40.67766381892355,4.242619444499315,0.5091234074868308,641.962004658609,44.347256419030394,2.0118578346898253,0.0008439660202576743,0.1282941462301534,21.576123608773983,24.8821817800555,8.139928730423636,1.0547982353429566,78.61340964039724,0.5985550707769373,1.1933218667264638,1.7072619318220295,3.4991388693254306,771.4557113106367
9,9,220,25.34722222222222,472.52245719223436,29.437051972484745,4.582766525931208,0.7318677030380754,445.91047508071824,34.39906367621411,2.49475671474446,0.0010028794228332573,0.2708938093512716,21.481046271148827,11.166375219730085,5.838197522998235,1.3981718987986733,55.39179571055034,0.3217350919113002,0.5994403080753608,0.959653640719802,1.880829040706463,538.1114520441383
10,10,146,16.78240740740741,471.9525486162443,24.55543393293515,2.9870429798796496,0.360023691146933,705.91170060739,27.077774395829888,1.5588799863396756,0.0010698377463082217,0.10207766272726781,14.31449787782658,14.387588020626394,4.865603009082476,0.7938114040695636,79.34923207137062,0.3338593278042764,0.6424846551829329,0.9724566357585056,1.948800618745715,784.5498061465189
11,11,134,15.393518518518517,472.15271398915377,16.8695829386001,1.904191699161239,0.2423888583437967,647.2214584155871,18.648982596431633,0.8419563119875187,0.0009287082538605327,0.05694222575599858,9.702381385511313,9.630775319264957,3.3480650678870565,0.5060033752095987,70.73531109640048,0.23396323338343408,0.4784935202312413,0.7182660278552706,1.430722781469946,700.7019982979529
12,12,300,34.60648148148148,474.292251679486,31.617394885233356,7.201747197087363,1.2445804287571944,601.4648858650262,41.394749747359505,3.788916246451563,0.0019021379081758274,0.5989093066777663,24.616470980305863,10.053935212147676,6.38092074953668,2.3393708534341413,72.59485576005446,0.28315682778837814,0.5132055901276802,0.9198075277132287,1.7161699456292872,707.8034825752488
13,13,133,15.277777777777777,464.69018140987544,29.632116269995823,3.2354142091967275,0.38227137775237574,452.04215791559636,32.55878269642697,1.465438689255459,0.000705788647770996,0.09247084155031823,16.07877777514357,18.213386210368114,5.884993451921752,0.8481407043342728,55.713150587373896,0.40709743956162414,0.8382805636133994,1.2170129439723965,2.46239094714742,546.8182691021933
14,14,148,17.01388888888889,472.195620591984,29.551434104174618,3.6963208937361527,0.4284358161858545,475.1928179565237,32.872955663996535,1.6530042068809117,0.0008154297768490791,0.11129426321889302,17.85542568433065,16.226418295281192,5.829542007461173,0.9945491319963943,58.08068761187619,0.4109403313711952,0.7521249991825457,1.2071506280789435,2.3702159586326843,568.927803727865
15,15,127,14.583333333333332,474.8524570813049,34.00463487727164,3.7782658675512066,0.4664984628192298,459.3901326117058,37.53359900930212,1.5814429279201612,0.000710938181484929,0.0900638713187396,18.633982416395057,20.898358460480082,6.72047814500522,1.010282619713946,58.02609286544933,0.4831106805427481,0.9323557287209374,1.4810649599254628,2.896531369189148,568.3709991604587
16,16,121,13.888888888888888,469.5516340005185,17.207969398671434,1.8559665510197818,0.19251415922920675,528.4332575109058,18.746805157772954,0.862286428634625,0.0007624685981844766,0.05381369821267503,9.317802081919002,10.474202748686848,3.4239395452787456,0.45948774851897406,58.93197996195584,0.23562582635524756,0.4724160314849418,0.7599277700398084,1.4679696278799979,583.1789750434092
17,17,152,17.47685185185185,471.34564578340667,15.94743137862539,1.9962827876882039,0.2563778249127268,537.5113359440129,17.79987881696579,0.940562588026242,0.000856142456823059,0.06976390495267785,9.990196227025555,8.367077016229567,3.181119715988853,0.5231213593908537,59.453571373674436,0.22027722016329387,0.4077293210959336,0.5945800224707476,1.222586563729975,587.8163940429802
18,18,142,16.319444444444443,471.7549801422391,23.056816357273785,3.294222754039229,0.38736206281499186,455.74775271951034,26.078779448184704,1.3947859353953822,0.0007590428667595385,0.09510610807708555,13.654469182705608,13.791505506798988,4.7370382826062505,0.6982307149898096,53.96759720689298,0.32647237859647227,0.6546664778566413,0.9942287242089998,1.9753675806621134,531.2577265132194
19,19,174,20.02314814814815,474.9383111869654,30.48071221215744,4.071378693595019,0.5432448554228263,649.8601348627261,34.341761491205816,2.025101407587251,0.001330406889386731,0.16229759631529592,20.257322562179645,14.764444117213127,5.968579735594045,1.1899840699929334,75.92440376703297,0.39463711988020267,0.773379158897947,1.0494238847298105,2.21744016350796,745.6264096122072
20,20,211,24.305555555555554,474.4147296979099,31.32176682660889,4.934051185553241,0.7357923762394082,716.6359731938335,36.32155161997905,2.6665212066129427,0.0015918844824959462,0.26974135875224325,21.44851543248097,12.646220981496361,6.262710431576281,1.396680438615216,83.15359726257525,0.3479820061435282,0.698432163354226,1.070047619409806,2.1164617889075603,815.3090632926574
