,no_of_the sample,total_timesteps,total_time / km,total_distance/km,Protein / micromolar,Polypeptide / micromolar,Amino acid / micromolar,Heteropolycondensate / micromolar,Polysaccharide / micromolar,Oligosaccharide / micromolar,Humic acid / micromolar,Monosaccharide / micromolar,Inorganic carbon / micromolar,Lipid / micromolar,Pigment / micromolar,Porpherin / micromolar,CDOM / micromolar,VPhenol / micromolar,SPhenol / micromolar,CPhenol / micromolar,Phenol / micromolar,DOC / micromolar
0,0,154,17.708333333333332,777.2713688175362,14.892004518360121,2.124864953038775,0.2864643661029658,481.6950669184028,16.96237963228439,0.9702594084581113,0.0007635780721556734,0.07949975055167087,8.936343826008551,8.595315911417348,3.0174504946879535,0.5292764712506741,53.596814633527565,0.2020042176262313,0.3794600167238404,0.6045373532639783,1.18600158761405,530.3393475902411
1,1,377,43.51851851851852,782.966793777207,7.173322324247303,1.719053559491285,0.38858566392610716,397.2858096352925,9.986580472927718,1.255271848146105,0.001544574265483441,0.259226527536176,5.665732279782869,1.9139336559394768,1.543741630720491,0.598518562516309,42.69596988942822,0.04806848945822564,0.10855748332706733,0.17003008854026758,0.3266560613255606,422.4522445163344
2,2,162,18.63425925925926,772.8092894796506,22.00654371910668,3.239533368348625,0.39523520403789136,498.60890599086014,25.121761898431515,1.3692284029697575,0.0009491151803203245,0.10845920924590839,14.131529783361183,11.499990029659418,4.372655334911068,0.8555431856874514,57.83549071770533,0.28180944509099853,0.5575029795301,0.8144670484398928,1.6537794730609914,569.2325849314997
3,3,324,37.38425925925926,782.1187267745986,12.019151821522849,2.598803482013708,0.501707821198328,501.33457324660304,15.31344686187545,1.7911979259227118,0.001800055833802729,0.3177181557649987,8.628205816572157,3.9825375110415786,2.400663242087161,0.8993819084158422,54.83521774391963,0.10521089266710326,0.21755186291788342,0.28269205230602007,0.6054548078910067,541.7664368401704
4,4,159,18.287037037037035,782.865926678866,12.810145964388418,1.6743993311132224,0.2484373440827007,515.0868447516677,14.43122491321693,0.8197060050677063,0.0008346369845886401,0.06850873355889013,7.82556174625604,6.971981392687773,2.527021892953292,0.48102803020242735,56.118176044079476,0.1637313261808418,0.33152957740576205,0.4757301549532168,0.9709910585398207,556.0911240544634
5,5,186,21.412037037037035,776.7748486447524,22.26342316846399,3.645517113045576,0.5012173665021653,330.2640606962252,25.69901244812541,1.8413931975511717,0.0006892680585552376,0.1664978193445325,15.096182440300028,10.713860207747397,4.48002058988628,0.9437418402879214,41.20992440565844,0.27406514801447035,0.575256073114618,0.7670835940688508,1.616404815197939,402.1358385304363
6,6,336,38.773148148148145,783.5847315907835,18.867952059009305,4.461061544071435,0.9084991785298531,400.3469212650355,24.76990592749254,3.0144195372652134,0.0015576991661212063,0.5236666828719754,15.509001768268066,4.479144166065137,3.870494278658826,1.4727258423677336,47.537293930049195,0.13646050666985465,0.27236503255178846,0.41719408689394977,0.8260196261155929,463.54236780664917
7,7,168,19.328703703703702,778.3656825009577,25.162039637095937,4.061953126296943,0.5090651539303366,485.3783397411189,29.137440366673516,1.752339670421788,0.0009401786393372995,0.13754838425742663,14.96213343887332,14.48464374388858,5.033205873474916,1.0506122449243256,57.789707694144305,0.3270847078168345,0.6821496202765502,0.9660736656144048,1.9753079937077893,568.6834361144298
8,8,174,20.02314814814815,779.3956911049843,23.849711843911376,3.1762980341052605,0.47732538698458227,398.74439845992646,26.930360340336094,1.6791997548233137,0.0007292852062770032,0.1520413901704867,14.950631135915122,11.946485697990699,4.78147862056823,0.870691672535772,48.50399264071047,0.3102921117320521,0.6178238395388179,0.867069858494838,1.795185809765708,474.40390629632424
9,9,382,44.09722222222222,783.2641807406397,18.714339744772698,3.887309528911654,0.7787747543789255,340.2865243963229,24.53979828465648,2.890358264319187,0.0012859417138321309,0.5599845994700974,13.67592622504308,3.4656204491975253,3.6997372392576566,1.5389097029805103,41.38718402019851,0.1312091032162374,0.23197483374934094,0.38969686258223046,0.7528807995478088,401.1155237055292
10,10,140,16.087962962962962,774.2538814920024,13.85831899564466,1.6330311336755652,0.19141768064321885,395.7104418976266,15.22014252073887,0.8418052095176253,0.0005755773548525684,0.0527812661920461,7.885012642912208,8.301518483127946,2.74658865796768,0.4296284418618182,44.50224053337255,0.19142074844823878,0.3689610842802734,0.5582464830773397,1.1186283158058519,440.10487818015673
11,11,134,15.393518518518517,779.9003442655379,12.09571434098189,1.3653306621363681,0.17379602095880767,464.0663556913212,13.371567457084897,0.6036938242311249,0.000665896115256379,0.04082832985208434,6.956735924862384,6.905393427211447,2.4006069861702546,0.3628111201316918,50.71815467854994,0.16775473629660073,0.3430861898479285,0.5150062526969642,1.0258471788414933,502.4126109350366
12,12,147,16.89814814814815,773.5369214634718,22.781335967280008,3.230554559129583,0.38449553769175293,354.559008692673,25.984776644948408,1.2474336426703383,0.0005645812245942576,0.0939315314541375,13.918172776048143,13.019935129913108,4.566901344603823,0.8122261925925096,43.723809006021916,0.30713117325982314,0.5854255437039542,0.9578887461582806,1.850445463122058,428.5316092873033
13,13,269,31.018518518518515,782.409701079347,20.566140819183218,3.571536008324945,0.6231191481052872,365.90724006186974,24.90022925520343,2.148732691814922,0.0011286187299753884,0.28170636058295795,14.895393271473047,7.656030401145102,4.07211228747057,1.1854537555731584,44.29284413640614,0.19269683932214568,0.40889360169458605,0.5739853324896818,1.1755757735064134,432.0890051815097
14,14,199,22.916666666666664,781.8702684688968,20.09653021121799,3.1248479318468227,0.436301927035079,342.5669765297837,23.19694149426857,1.5396850928798786,0.0007831202754169406,0.14084274045006237,13.803553374626217,8.962674633688179,3.95110019613895,0.9097434703657052,41.59051011671446,0.24670488769191162,0.437850013119917,0.7194322995204094,1.403987200332238,406.3304145482826
15,15,140,16.087962962962962,776.2633501209184,24.913019020834565,2.9788436888928302,0.39435658369788956,341.9012125992155,27.780035508479305,1.2845580433479498,0.0005819075398520476,0.08089342948493232,14.44911427691785,14.560846719536801,4.919689967089161,0.8155134417579745,43.09290016096463,0.34181707752876067,0.6572492086737465,1.0502476232292712,2.0493139094317785,421.6788648193086
16,16,301,34.72222222222222,781.6093130180511,15.336212631252325,3.071745659064257,0.5245801392073925,578.9075193361739,18.998189823176382,2.0143158539598396,0.0020185723715026318,0.32482594635757245,11.19910090279258,4.432987424135625,3.046616705410756,1.008561611081148,63.74052652624207,0.1196905398548311,0.24086249085588612,0.4302803420393785,0.7908333727500957,628.4584070749409
17,17,149,17.12962962962963,777.4601331503915,16.778571325903783,2.0696767803271867,0.26235818768360636,563.6097729255881,18.686719959440868,0.9690608316411221,0.0008803843167115831,0.07040903082273836,10.408977056168622,8.916681227612635,3.346815463898368,0.5394688145104287,62.35335415827784,0.23344921014044528,0.4327756970386644,0.6314582889416751,1.2976831961207849,616.5480981278663
18,18,150,17.24537037037037,770.5088763715657,17.253612126045102,2.5725457421829834,0.31424503551578364,344.68068090914994,19.6518177186911,1.1070467061273754,0.0006056402191103389,0.07989668310105422,10.543074028665465,10.023727170710503,3.550998682217708,0.5527762860801857,40.77587948685581,0.23961711550160528,0.48056969965803903,0.7303441395021695,1.4505309546618137,401.2384836547027
19,19,170,19.560185185185183,775.7549271412217,16.024509797760505,2.105250789759532,0.27696789904250285,340.1502669149073,18.004645759335926,1.0388270108689968,0.0006808567730757638,0.08127549894919249,10.541778471136503,7.893244229606871,3.139077872507571,0.6114042254891382,39.75709078851507,0.2095479000514408,0.41084890396736634,0.5587881028041755,1.1791849068229827,390.50533576182363
20,20,285,32.87037037037037,782.9962582776536,19.366860775214583,3.6649217712033084,0.6324073063609472,481.5267291957574,23.661477444974313,2.2797967384317834,0.001426317509124795,0.31552980408622056,13.71852255615418,5.680361853086408,3.877560102463811,1.1668100001371353,55.486980540476445,0.17515535569855326,0.351991869230229,0.5433116865206273,1.0704589114494096,543.2443402206743
21,21,279,32.175925925925924,782.5485972827275,12.177901125550457,2.381850459778118,0.4599269636928058,383.7804405560293,15.241344907771646,1.382517332756056,0.001182560967328544,0.20024489134401896,9.604277432267564,3.9782146032679035,2.4168052550404813,0.8109214819069421,43.06256153390014,0.12097671831075309,0.2427446989245759,0.36052291244569873,0.7242443296810277,423.555594467786
22,22,273,31.48148148148148,780.9478776116842,22.909641514768406,4.324388693695895,0.7796985491916004,627.7729806468403,27.74706105815642,2.7923665774697803,0.002005569564282722,0.3882603887113506,15.819992971704135,8.031109170208852,4.613711452679958,1.3574155010547617,71.46356584343128,0.20975190408510042,0.4566709594591387,0.6189609956547836,1.2853838591990225,702.0040229815409
23,23,223,25.694444444444443,778.8220016700583,27.441274251300406,4.5827917024616065,0.8035158175587841,433.64528126619325,32.814842410778674,2.3487699865827003,0.0009704060304023007,0.23895088468256998,18.40572159519136,12.611361632083733,5.494766480997636,1.3719815690252661,53.55577581882352,0.31391734964383106,0.6186143563294154,0.8261719820608766,1.7587036880341231,523.1132100957291
24,24,212,24.421296296296294,781.2724113254282,23.882749260162093,3.67666822527161,0.5419591406090677,569.4321277596322,27.57481315573177,2.079144993128688,0.0013519735513698615,0.24591785918173112,16.32120035953324,9.433296899662412,4.694250095372264,1.1308688193653236,65.66658831438797,0.26224480633404107,0.5423531011458406,0.740801176371475,1.5453990838513567,644.23854726552
25,25,201,23.148148148148145,778.807605761691,20.206322934851556,3.019531853252644,0.4337428585190377,594.6962026719082,23.231219423885072,1.540437111785876,0.0012698212673946734,0.15485394074371908,12.833082891692479,9.71979306978431,3.9595607493808895,0.9017685952170873,66.8079285774186,0.23073349230620324,0.4576775633539218,0.6944576478084346,1.3828687034685596,659.2475717340643
26,26,187,21.527777777777775,775.8290283535789,33.7093381002487,4.667704723569129,0.7255934010942564,541.4006602584103,38.23959758160365,2.5654053080435006,0.0012284652514371029,0.2639138696019288,20.44361923107199,17.415425345536512,6.550615747739178,1.4643371165273902,66.30164477823544,0.4206091890805468,0.8110294336786035,1.1189434320983216,2.3505820548574716,649.3544019724835
27,27,184,21.180555555555554,780.4306135665099,11.166108962649275,1.7904684141801204,0.26601149034223104,504.2296669350078,12.882534872619305,0.9406216513583219,0.0010647502440306053,0.08065566808206068,6.802678590228426,6.039980907750119,2.2590618906492486,0.46556489350429736,54.543358880719744,0.13256478354042825,0.29042466459236443,0.422933299747454,0.8459227478802467,540.967663184267
28,28,158,18.171296296296294,779.080672431716,24.15361563981913,3.3295282612511246,0.4630587360273502,418.2076485848021,27.31556252108498,1.676422059985591,0.0007290878215940953,0.1293134751149452,15.167971293254212,12.5120904841614,4.78949351789618,0.9245912095411384,50.57254818123653,0.31293471609457174,0.610899488928838,0.9620355869071701,1.8858697919305798,495.38792336943607
29,29,283,32.638888888888886,782.9426927997696,24.84861727166373,4.940818762748697,0.9799873705341547,372.07107228330165,30.927874598364184,3.1323838685756145,0.001080381737907006,0.5019193078943276,18.62253368991512,7.923030431511541,4.911918587125805,1.668347466812958,46.70515708154889,0.21550946451079608,0.46029561685186304,0.6360799856482138,1.311885067010873,453.2189353972814
30,30,148,17.01388888888889,777.469423814251,9.857176960755263,1.2103570428765684,0.1670006640503477,407.6593126464743,10.966305040515985,0.6224075904659601,0.0006395188248821143,0.04277947662606451,5.939818989583401,5.46343881998142,1.9782272230048348,0.3133307249318136,44.30049099052409,0.1328763833325604,0.26606327223930687,0.38070907735078224,0.7796487329226496,439.06062444143004
31,31,143,16.435185185185183,771.9621300031854,10.48448499581058,1.3392056317846384,0.14755279189533807,350.0441776186669,11.697601843520134,0.5737904881187081,0.0005378741465578145,0.04268473215198884,6.026717596053817,6.076292041198947,2.093618426076509,0.3333442097623199,38.77325379315542,0.1467803162050671,0.2951468111745945,0.44723922373802183,0.8891663511176835,383.7224570042504
32,32,196,22.569444444444443,776.6184539369748,18.452771656856886,2.835565948551586,0.3992466598792741,493.74821303735877,21.210621672979133,1.445084125494545,0.0011673976775523505,0.14540578341817378,12.25276060645849,8.899574476468933,3.558632906819836,0.8816919291789235,56.09937651625987,0.2211623704424966,0.456082361892968,0.6529165126328784,1.330161244968343,552.908136839652
33,33,165,18.98148148148148,783.0066390135092,28.234000883225622,4.341065965015817,0.5346607677468576,500.41379161776825,32.598917443246535,1.7864144576726952,0.0008333567591450794,0.15134196058411908,18.586574961328292,14.170113096584071,5.666095592800479,1.1088591276830007,60.35386200736317,0.3542207030184742,0.7576963688850354,1.0521072819761692,2.164024353879679,591.1701186229662
34,34,141,16.203703703703702,779.8354987995676,25.132798320202458,3.4277366312682536,0.466636402689512,416.8762280532653,28.45995673113274,1.4863675834111796,0.0006212647129735072,0.09601783042535998,14.308305900746824,15.469122295163064,5.030486192785052,0.8861581777012497,50.8072929321196,0.3443027248505813,0.692396330973435,1.0534401086805814,2.0901391645045977,499.4222686472618
