,no_of_the sample,total_timesteps,total_time / km,total_distance/km,Protein / micromolar,Polypeptide / micromolar,Amino acid / micromolar,Heteropolycondensate / micromolar,Polysaccharide / micromolar,Oligosaccharide / micromolar,Humic acid / micromolar,Monosaccharide / micromolar,Inorganic carbon / micromolar,Lipid / micromolar,Pigment / micromolar,Porpherin / micromolar,CDOM / micromolar,VPhenol / micromolar,SPhenol / micromolar,CPhenol / micromolar,Phenol / micromolar,DOC / micromolar
0,0,382,44.09722222222222,583.2264760572564,18.448555329116633,4.4718863974355445,0.9324340991325899,798.9537924153825,25.51186221787311,3.2716626556649913,0.0030141543025254077,0.6964840587131725,13.72510034524498,4.694336138129698,3.8345604214457016,1.6853467071547314,87.52533613178252,0.14116431295068665,0.24152427783132122,0.42093028416398104,0.8036188749459889,863.3075534692972
1,1,186,21.412037037037035,581.0433647355205,13.593539247477628,2.224320547609006,0.360459165794579,587.5116177526038,15.996842217519713,1.0785861454443078,0.0011665044960272911,0.10587843578199622,9.135406017111725,7.096005634045908,2.8126917248242886,0.5472249111770632,63.80378532492758,0.15841926599680817,0.33635788181231696,0.515383424669908,1.0101605724790332,632.3384928592534
2,2,167,19.212962962962962,583.308015626376,24.140625285543376,3.6359612841233186,0.45227602576724674,550.3326932020727,27.671482761479453,1.5516532444773312,0.0010790014078430438,0.12684391107386303,15.722789637368175,12.363484774371294,4.796326820378683,0.9679198564175161,63.80168792508479,0.3049256235114251,0.6030293009983243,0.8802553770871437,1.788210301596893,627.8285564687093
3,3,183,21.064814814814813,582.96174792611,27.172306677373122,4.159513867944585,0.6025992630622287,957.7145528884946,31.146037362535807,2.187069378409035,0.0019930250995372793,0.2129548528760521,16.878638027481166,14.582208158128077,5.420778233983488,1.145052735437862,105.71277489459925,0.34055545348610755,0.694020655084454,0.960145008372246,1.9947211169428076,1046.3397875602873
4,4,360,41.550925925925924,583.101709090329,14.011038736042243,2.9150921635336564,0.6647899597585142,711.6988866714755,18.367590492158122,2.160299409659786,0.0025192842120057997,0.42373864940147027,10.148428933210504,3.5170024180249984,2.730074694952204,1.1821608732081512,76.67971833573311,0.10184170111881545,0.20947660273540375,0.28410662590630636,0.5954249297605256,758.2686182821874
5,5,411,47.4537037037037,583.0268259140292,32.971951847770235,8.684996660908842,1.74547545399965,647.6536682607456,45.31784088797171,6.582664342467847,0.0028514086226501534,1.365417581646054,24.175034441195653,6.518872947855122,6.717644723778063,3.135672263519746,78.348432691762,0.22605724416875975,0.50319798185233,0.5815135425019275,1.3107687685230172,762.0078251478085
6,6,147,16.89814814814815,575.5087597115648,37.57997782439577,5.22061346436064,0.6667701025927705,625.6624452806454,42.31266426244316,2.4291087435744703,0.0011020188130381994,0.1782126416782227,24.533578249520872,20.08044885300744,7.5820664341638615,1.2623101730045836,76.12536207901556,0.48135507641690184,0.9618549361298695,1.4560116884926377,2.899221701039409,745.8749414997187
7,7,293,33.7962962962963,582.5440057441215,33.17178643390784,7.790558647963627,1.3105262944826053,753.8157720173572,42.8704670817864,4.290963222136809,0.002481873077038299,0.6007992636732815,23.561529300732392,12.630232853432615,6.656460690795291,2.4456264419723706,88.42853268284344,0.31329307270408047,0.6741942104144442,0.9146027318792719,1.9020900149977966,867.4877648355829
8,8,654,75.5787037037037,583.3040127094102,16.38098568535047,3.8956183893287006,0.95313204706511,471.7774120293662,25.910899526945713,4.933817664398821,0.0029545788047109427,1.8063136511192739,7.755640586737291,1.2051829727017167,3.3437834507380244,2.2787265056120347,54.55185449562562,0.06537424818408405,0.12856681446760426,0.15001277917829292,0.34395384182998123,532.8327803432605
9,9,252,29.050925925925924,581.430048203754,46.504109564531426,7.852581182126057,1.340222123021811,730.4676144093329,55.594126197454614,4.558041096035128,0.0018697601992297497,0.5702346432865257,34.83366483740189,15.310729012440747,9.217255169292947,2.5291271951452146,90.33841994173437,0.4655953180261575,0.858535420515164,1.3875819278519665,2.711712666393288,876.6576230192601
10,10,263,30.324074074074073,582.9164676149786,14.232875726753322,2.5731149284510684,0.4313742359338722,466.62572505429176,16.98334202993344,1.693729422874377,0.001249209653517889,0.20433573729815477,10.579300599729793,5.41756637882883,2.8083324316432035,0.8252022439625699,51.98732427604371,0.14219644617777244,0.2652699175911976,0.4044412796656452,0.8119076434346153,512.6087550430587
11,11,204,23.49537037037037,582.7712051096524,12.448837204135106,1.8775191176938506,0.3111707647758615,517.2863388658852,14.507783235451583,0.968086978688929,0.0011164247194162557,0.1012539745206119,8.533462487380183,5.291243505038869,2.465989730160929,0.5671079529689553,56.29748984297741,0.14270063199271538,0.2952968337768396,0.4434405731561825,0.8814380389257375,556.7078857929652
12,12,445,51.388888888888886,582.4395780000356,24.339276911830957,6.69042218937217,1.3127996750827762,559.0254451782591,36.31409961658648,4.620240931506731,0.002553393833736423,1.1069741611056128,18.13576780246216,4.440291508947535,4.943418245618253,2.708033143130319,66.28590469945786,0.147929038330575,0.2556104332562304,0.49943356386854465,0.90297303545535,646.4065279907293
13,13,164,18.86574074074074,577.2600751228699,27.875317428494974,3.5468664970254125,0.47897053447447635,440.49070987395544,31.31352100871334,1.7176288250827165,0.0008438847000794916,0.13462504511615614,16.966647487304453,15.282959487441838,5.532266342665731,0.9834058522963223,54.05418124086193,0.350968813829673,0.7276674985462785,1.048352522941751,2.1269888353177024,529.4841036152841
14,14,145,16.666666666666664,581.327401980473,46.2694738765141,5.696589525187537,0.6511923584226395,741.4660124739008,51.358303336750595,2.5328504171194552,0.0012472042012043483,0.16696098092299735,27.661572346727564,25.71888002321092,9.129274255941896,1.5255363991123638,90.66301910299059,0.6481562005029871,1.1884393795540005,1.9047977923516208,3.7413933724086084,888.2577142236931
15,15,166,19.09722222222222,581.3082746101122,40.22436314238558,5.436807144241205,0.8077865899871491,569.6299269976685,45.77668083569682,2.486756522982308,0.0011438188049852284,0.18669805473287496,25.49468700774555,21.262869416680587,7.9304747834936995,1.5591024642540738,71.49331214145711,0.514723885976359,0.9824563373505953,1.5885951697153249,3.0857753930422795,698.38838516397
16,16,138,15.856481481481481,575.5636827087081,16.84428138148625,2.013406409071784,0.22825109179369715,527.4894266350944,18.57461385142594,0.9678561775582266,0.00086609336167577,0.06921607097811133,9.818262853509845,9.55650915669375,3.351067261605046,0.5127682345847031,58.74932686752919,0.21871924329246614,0.4386726528001086,0.712670436275192,1.3700623323677668,580.9783246960213
17,17,218,25.11574074074074,579.6267927573467,19.0975988872427,3.061745496692604,0.4869622680825298,693.472083646051,22.364828619728804,1.6508488060575242,0.0015674898927626481,0.17803746897794606,13.710798404164857,7.5583423242099315,3.8119101836361495,0.8995926575376456,76.36657778977401,0.2247857289244448,0.40222857387901667,0.5793696222597419,1.2063839250632034,753.7899017731727
18,18,196,22.569444444444443,580.6516441018787,24.909978722999156,4.528483573356687,0.6577399140690462,528.9076905686245,29.535614654287066,2.1369760544008223,0.0012049631994855612,0.20357778670748022,17.37524895825338,12.237975145731308,5.178818193474089,1.0514341732123884,62.23199720754274,0.3094978958190188,0.6212542316629093,0.9479688170450339,1.878720944526962,611.228214694589
19,19,176,20.25462962962963,579.0231975999878,32.505282994275845,4.377078605678488,0.5880603864226537,694.5489323826282,36.67331958489993,2.1858461960098463,0.0014377047067823513,0.17726399448405367,21.708915004309457,15.613725586694764,6.363764761828261,1.283418845300584,81.12851231207456,0.4187587598961462,0.8204578837535704,1.112017196517844,2.3512338401675605,796.6693648830969
20,20,173,19.907407407407405,581.0879142018114,34.492218193236745,4.741022575738613,0.6308606889973611,756.0633753018026,38.940430163997796,2.378118394910062,0.0013857139608750035,0.1957743839326055,22.21810099627419,16.41005949078436,6.8918800288296795,1.260350570861531,88.06051238575664,0.4259044869776546,0.8542823898135953,1.3038205067284891,2.5840073835197392,864.589482890572
21,21,207,23.84259259259259,579.4806883472594,26.006091240018044,4.264494275554245,0.7059654657760338,751.2082411387081,30.71049814245783,2.132435570689951,0.0017420629064498815,0.22642809810623116,18.986624147941694,11.35092795499803,5.166025543743325,1.2802108382564514,84.77917661002567,0.30935301487629135,0.6202047195338475,0.9234937509027958,1.8530514853129347,834.9061118165276
22,22,131,15.046296296296296,572.3625033364804,20.655507564641315,2.3656912934008476,0.27497099497084565,480.2513895874231,22.636014012644377,1.155552367950443,0.000755364469791429,0.0748367188547016,11.09725197681292,12.515742204215915,4.135968091966701,0.5809939181743538,55.37505238596521,0.28376356917113144,0.5910267314442339,0.844605640650432,1.7193959412657973,546.3668180599783
23,23,162,18.63425925925926,577.1731527714614,37.10703018774165,5.02420599834457,0.7282726079045124,544.2650713922831,42.24560900863396,2.24635224125088,0.0008942476073736755,0.164155225212841,21.8435718219291,21.114922327322947,7.41948190419087,1.3467915490705773,67.83450488823803,0.4943638743026773,0.9781758097672566,1.3487369128213038,2.821276596891238,664.4840632864543
24,24,138,15.856481481481481,578.2906036150481,20.309734680453897,2.3130766269977774,0.2663013114222671,445.72785455860077,22.296579234286146,1.1320314338700572,0.0006986634748388862,0.0856029940886775,11.875032840460783,11.111367501458542,4.010633128771179,0.6273494216769013,51.77943264515753,0.27481101209035735,0.5617048716967422,0.7928513004673707,1.6293671842544704,509.5105967393555
25,25,1188,137.38425925925927,583.0841436575749,5.910024720138813,1.6581384907170074,0.3754247479481338,503.83890817422315,13.525695141495985,3.5547789496532163,0.005249315720523732,2.4116050897972254,1.4156062563186667,0.07678327681893524,1.0683273329447023,1.420035118841899,53.47178105664483,0.004332424247353192,0.008251020462328262,0.01325084444793567,0.025834289157617124,533.8708046474574
26,26,184,21.180555555555554,580.2762136954026,46.49338519474054,6.369056914626816,0.9804801131968414,744.1914612511328,52.63455809533636,3.479254940263409,0.0016624501547534134,0.3519444820142329,28.01645048929271,24.27733974825282,9.038494912166735,1.9880274106114098,91.17419176871768,0.5845154966203775,1.127742353512794,1.5579991236613773,3.270256973794549,893.0759224862912
27,27,161,18.51851851851852,580.5462159679124,16.49081847887463,2.402465458607347,0.32721985846340557,723.8862174529852,18.68688124501623,1.2032786734232266,0.001342851717412954,0.08986115026853024,9.446042646887316,9.63643703933433,3.3298003610035125,0.5998669831975953,78.40393357480514,0.20893627971393153,0.45252777251199355,0.6614530308591045,1.3229170830850294,777.9771066359765
28,28,142,16.319444444444443,574.9159913204754,33.50841599840141,4.27595454189939,0.5551272705722766,568.585207563682,37.42286255241088,2.0762944678352273,0.0008930885652436777,0.14341876813971227,20.00831130216815,18.561483502612845,6.647531799680154,1.1525528700377363,68.91107941506085,0.45358778740593,0.8876645125477055,1.3909670610603397,2.7322193610139753,675.661961784851
29,29,658,76.04166666666666,582.9610065201518,22.19713077671553,6.007283614995923,1.5398689173039242,528.5562558993265,36.96052279524976,7.337392916603765,0.0032958804977937127,2.9190160571853334,11.885429455330119,1.5479789697225579,4.343516396957524,3.394227493853722,62.943857450007606,0.06372047101738151,0.14852592168656115,0.18404115757528974,0.3962875502792324,615.2027772686915
30,30,148,17.01388888888889,581.9487129604784,13.881229560569613,1.7044681280769585,0.2351763150524613,574.0804414772482,15.443143437994092,0.8764966559793815,0.000900593309000936,0.06024359082642704,8.36466579335107,7.693810180362115,2.785810411523168,0.4412435465523943,62.38553771873184,0.18712128102813258,0.37467982712437403,0.5361281551035432,1.0979292632560498,618.3008931607499
31,31,313,36.11111111111111,582.4374716270995,11.824825496417379,2.562678434671244,0.4246274332110779,481.3446328198416,15.040774806411907,1.497155144212281,0.0015651961949227002,0.2522060467090462,8.544050188237932,3.566674430185384,2.3683694403909694,0.8263588730204658,52.731164217634166,0.10853717911269409,0.21965978341376133,0.3369244695851291,0.6651214321115846,520.3749895533779
32,32,138,15.856481481481481,580.3746148063402,34.43678810057657,4.0844417482939885,0.46000498990221855,862.8596966556242,37.977117515800025,1.8659604708957898,0.0014508255596422724,0.13042880882098262,19.27178435261536,20.631269421830805,6.705328198381947,1.1650138038459126,98.55205675155649,0.48005389744984567,0.980992156852219,1.424003259966242,2.885049314268307,973.2025498538005
33,33,135,15.509259259259258,573.4847362987093,41.46845248427878,5.469984407516751,0.5938104132379068,706.9311991305601,46.636754837018415,2.117595396266588,0.000968202068550758,0.1456911360109256,24.736820443221756,23.60950331322781,8.310644368592621,1.3287337649162896,85.61689452553094,0.5661658058566499,1.1962584956687121,1.6847006394992765,3.4471249410246383,840.0604623947194
34,34,167,19.212962962962962,579.2654630905423,26.57128013871991,4.095225223716674,0.625933615671963,456.41746623511415,30.791667689752963,1.8876799603853363,0.0008016306325893295,0.14525748048294584,16.599307104272093,14.944911378220995,5.323203944869588,1.1135424132514122,55.417359951693236,0.3395643785123625,0.6835640623436149,1.042747183958659,2.0658756248146366,543.9828453356332
35,35,127,14.583333333333332,579.4836233886944,19.055571737581964,2.186181385612566,0.24150984904280134,519.4011633844035,20.956370158070456,0.9902262844338474,0.0007228153492370963,0.0561401863076113,10.728260281442656,11.431054530716404,3.763029369093748,0.5809731714076741,58.72865825615112,0.2745892736627097,0.5472930098070866,0.8113971209276184,1.6332794043974146,580.2962222764172
36,36,135,15.509259259259258,570.1588865938078,18.447616233860295,2.0276815782731106,0.24370053835478075,503.50173663011776,20.10874255485921,1.0617561661837542,0.0007322359024135692,0.06433661913292305,10.637085170818427,10.779920723447631,3.6176071793693088,0.572237091749384,56.88304491624942,0.2570645073477023,0.5176515644208638,0.7351789546947975,1.5098950264633637,561.9359625777138
37,37,212,24.421296296296294,580.5633760766104,35.314691324323874,6.415127033662446,1.0116657018481925,520.3892322673332,42.31973782645756,3.268424445016686,0.001225710475490456,0.33860193510525843,24.30072336782711,17.53543711412827,7.24845207283318,1.6988644785810714,65.30954821104359,0.431091529313543,0.806376010697703,1.1620454916967715,2.3995130317080173,637.9409729414732
38,38,144,16.550925925925924,582.8551331486294,41.34372398050504,4.935677603265906,0.6756829236792027,773.6093259369125,45.795982047197874,2.5503032835907384,0.0012001231709473051,0.16720840888056893,22.909059109231865,24.990329245057715,8.258318795432121,1.3126192750120582,92.18417961107068,0.5741549665813332,1.1203877872871506,1.6931437579035233,3.3876865117720074,907.0280581344767
39,39,135,15.509259259259258,580.3531423442631,34.995550428132354,4.529900606552196,0.5223810786635134,510.7861208571553,39.08929632874664,1.9431220251739283,0.0007435256039800294,0.11854809166458483,19.755621083187304,20.75197476889175,7.1053297874920585,1.0138159394924324,63.68948235620762,0.5020302937868637,1.0137990204116576,1.490744930329837,3.006574244528358,623.8633576820971
