,no_of_the sample,total_timesteps,total_time / km,total_distance/km,Protein / micromolar,Polypeptide / micromolar,Amino acid / micromolar,Heteropolycondensate / micromolar,Polysaccharide / micromolar,Oligosaccharide / micromolar,Humic acid / micromolar,Monosaccharide / micromolar,Inorganic carbon / micromolar,Lipid / micromolar,Pigment / micromolar,Porpherin / micromolar,CDOM / micromolar,VPhenol / micromolar,SPhenol / micromolar,CPhenol / micromolar,Phenol / micromolar,DOC / micromolar
0,0,168,19.328703703703702,314.78151869326325,25.979175599350878,3.9443006365341966,0.5614923904888315,855.5708543766991,29.9455294436158,1.8574089548434511,0.0014761395606384938,0.16660689190295477,16.294812093993805,14.259129524594732,5.2721998567942885,1.0097754954197424,95.09487673256805,0.34022403025363696,0.6354471652818027,1.0179602673403865,1.993631462875826,940.5615807726803
1,1,142,16.319444444444443,314.91652951837585,19.247447574408792,2.607905627973872,0.3552785025040219,785.5400074365161,21.790104747708803,1.1427119823439715,0.0011992015015911753,0.08471742466824582,11.204790310568129,11.727369138705415,3.946677182614394,0.5878980791426034,85.54175657372082,0.25480843579188256,0.5333745427587044,0.8131376604534547,1.6013206390040415,848.6326375370919
2,2,156,17.939814814814813,314.4918791287287,37.96971626871322,5.431225426355211,0.6466310422441907,853.9686224814681,43.13132658149247,2.2691349334130924,0.0015668985834123201,0.17284894175678822,23.941512852168884,20.327635585843307,7.5451963214839655,1.4206627881589682,99.11773377200139,0.49430046380466763,0.9782711597418831,1.430582277484673,2.9031539010312235,975.7877211705438
3,3,134,15.393518518518517,315.4613205873135,17.385180186531215,2.117128210322938,0.2503029332210891,577.81448933361,19.208634240093886,1.0079696646654228,0.0008875258200473484,0.07098129117223816,9.17199426012807,11.031890039448994,3.4668322231780655,0.5352725434486327,64.0022163165416,0.2468366604825636,0.5004938669651071,0.7076531025546929,1.4549836300023635,634.344551821515
4,4,130,14.930555555555555,309.8098206129055,14.559292900737265,1.6437717208264664,0.21199313213566426,565.9322727052858,16.046899936669327,0.7544134694720365,0.000753064198135993,0.05118713429255721,7.985547434807015,8.860014574729453,2.8771811427641016,0.44708346414538763,61.76933231739999,0.20187563294255573,0.40784065135094855,0.5900144729434573,1.1997307572369615,612.5845940024933
5,5,142,16.319444444444443,315.95746630389544,39.48773799727411,5.275921472146108,0.6071697844055737,554.1387514386169,44.05179679831024,2.4488199616280677,0.0008903890505125459,0.16741809653243966,23.540285930369535,22.613329997281475,7.926790758296386,1.2727174513864843,69.62704259540283,0.5450445748968261,1.1309676994180278,1.5509133078998671,3.2269255822147214,681.2182697271429
6,6,117,13.425925925925926,310.367916159962,37.64625774121595,4.372909969571325,0.4729593058016484,602.8660519456946,41.36667607893947,1.9110867491048995,0.0008490031251658163,0.11070574432277261,21.517525245094937,22.880564918665726,7.5754482807899395,1.00268471272458,73.67798605086885,0.5279975785567729,1.0552497606423688,1.5943953537198587,3.1776426929190005,723.3838371428751
7,7,124,14.23611111111111,315.53779158085405,23.227178969233172,2.956518183936367,0.30239283485983753,422.82519845283593,25.877202509503622,1.1665621314040926,0.0006094067114713766,0.06688195897907963,11.643279258226725,15.464977724120915,4.640994856201091,0.7118431642897547,50.63021762380707,0.3378661572129938,0.6969019434313908,1.0020254178686763,2.036793518513061,499.2771537105883
8,8,132,15.162037037037036,311.7060050784243,35.70003296255427,3.903771051496895,0.489571306447591,568.6442718807983,39.1398444360765,1.884120110028504,0.0007947945326559674,0.1281730316957077,19.612853981008648,21.150323040507736,7.146008590419293,0.9860898413222873,69.55852117536719,0.5150661945453987,1.0266608516420181,1.4643101031772299,3.006037149364647,682.1790381952444
9,9,120,13.773148148148147,315.36155017258,50.65316735156662,5.136074456079973,0.5645989179497936,684.4129692041125,55.127392316128166,2.268668932945401,0.0008555001329302583,0.13139759854085373,28.43433546629444,29.91257343860502,10.0657914362003,1.3112256691394202,86.30499139982896,0.7281688891225796,1.4013143185156773,2.177670243638492,4.307153451276749,843.8918682726778
10,10,117,13.425925925925926,306.5112000251939,17.09507329396988,1.7506080239733341,0.18110274952749494,475.6358111759334,18.48601278193859,0.860426338618313,0.0005799810743992138,0.0448119753408474,8.697857019164587,11.146621940997509,3.390895517982647,0.4429276708697251,53.592823237044904,0.25087413199794345,0.4865206496791169,0.7350646159053736,1.4724593975824338,530.5073308478088
11,11,118,13.541666666666666,311.65794174661744,18.59605316606865,1.9055769151512703,0.22160627731253954,700.5380034812193,20.31105037533629,0.812671970328908,0.000887285868834193,0.048182646996508524,9.958220278124154,11.357011663986404,3.6923202927357717,0.4912439071961831,76.63935072237601,0.2693875100216177,0.5494639088886515,0.8247269378026091,1.643578356712878,759.6181863389138
12,12,265,30.555555555555554,316.5408090016481,36.63217272350621,7.77094233661089,1.2751727653511697,665.7206755388527,46.471207705783584,3.8169694089369544,0.001871720849898704,0.5299386544811084,28.045447057127415,13.32045311831377,7.3816450025876765,2.3858928547969462,80.72226502755626,0.360247597729938,0.6604979084283158,1.1593828087984934,2.180128314956747,787.4870701450277
13,13,119,13.657407407407407,313.44014192493967,42.662307501191584,4.276361450572045,0.4681305562407064,640.5221563878284,46.409978872246185,1.878489721454718,0.0008965986663369603,0.10565558914302506,21.61340458503675,27.611538685726366,8.475457798344397,1.0925006260268753,79.10227215920837,0.6096636467577313,1.2515220014959156,1.8232608545799933,3.6844465028336404,777.1879202902744
14,14,306,35.300925925925924,315.824466818942,37.64025517894736,7.68326543558244,1.3334001507160937,724.5256462890001,46.949891265335616,4.603064268323152,0.002494646803876103,0.6591164334263148,27.99039911434316,10.85071499651497,7.348330278554857,2.6171763212984462,86.8319248801753,0.35572466559066745,0.5918670242165911,1.0215844723965175,1.969176162203776,846.1825314267069
15,15,114,13.078703703703702,302.66008967250906,30.156635215549727,3.081266066565834,0.35111968725289616,401.0369254092795,32.948878248765766,1.2515336431956563,0.000558331376718929,0.06376065793392048,15.448200189276942,19.488155149634405,5.9647963634299845,0.8045255340887116,50.766482731530246,0.44364187423749774,0.8593423707003481,1.3570302142398198,2.660014459177666,497.8081687662508
16,16,300,34.60648148148148,316.13675775280285,19.161479677320113,3.8310558644083765,0.6534134332516198,722.4770133561208,23.71991694255091,2.5076762435213387,0.0025112470672488734,0.402970355370566,13.99318110495075,5.561656464770451,3.8065594040937842,1.2560280196536318,79.55341662139867,0.15001239508895794,0.30187528720031226,0.5389604822778877,0.990848164567158,784.371129172696
17,17,125,14.351851851851851,313.33681715200544,23.462621800570513,2.5323143590875867,0.28469710082760935,767.0143538213833,25.678461589193326,1.1273438260403175,0.001008485802334092,0.06829419176545037,13.247127897162498,13.814866929370716,4.679004541321511,0.6322181948567167,85.00147753073895,0.34600522186772276,0.6493784901986567,0.9517594163133833,1.9471431283797629,841.2423279685993
18,18,136,15.625,311.5955006816935,27.766549846376808,3.8342987326861997,0.4372869927040759,544.4858619134117,31.24163532772194,1.6037547426404906,0.0008693161057366697,0.10457287168988237,16.02817117434575,16.975852909386546,5.697145073416158,0.8043762928113405,64.52298732289549,0.398910984768568,0.7998360766171178,1.2140553043389706,2.4128023657246565,635.3650063846756
19,19,119,13.657407407407407,307.25008619934096,33.3209192438274,3.339855478274656,0.3465750614761462,668.6565843805765,36.14490032998497,1.486214211277241,0.0009450904228437136,0.08043286289378837,18.12029129709268,20.323216110770595,6.56024803828492,0.8925669263734946,78.58696095067334,0.4947305033101343,0.9758255439985031,1.3670064483717672,2.8375624956804044,773.990020229843
20,20,124,14.23611111111111,313.2369461323122,37.01469438124997,3.957522237996959,0.42288828613930296,767.5649352995644,40.368835503211244,1.7988906465697667,0.0010157595626751393,0.10492243609125465,20.39717359065836,21.760547193593556,7.389321463614961,0.9678153932745859,89.86040401434204,0.5237536076091677,1.0496814636935856,1.5941533813367388,3.1675884526394924,884.5189770535079
21,21,116,13.310185185185185,307.9211834103704,21.77429768688111,2.3534181760958006,0.2656554478698134,563.1340294008247,23.89222285803217,0.9655116943743947,0.0007437776070203967,0.05632185644401217,11.796299019860143,13.707204067992611,4.330585995796792,0.5966110282883647,64.06143752567822,0.32525398445468157,0.6513871503055484,0.9730794495503045,1.9497205843105343,633.0263225745174
22,22,121,13.888888888888888,312.3939430595011,26.828649012246903,2.8870651005577668,0.31685508122906825,616.5694640950006,29.194706329899716,1.3815712434423117,0.0008970874104868609,0.0824107704733202,13.77211422573554,16.89493043627907,5.3698814966144,0.6962510316162963,71.1636968198123,0.3792541621321379,0.7874544094781167,1.129512582501385,2.2962211541116395,702.5189028388817
23,23,184,21.180555555555554,314.64286780536776,39.036256567713174,5.767358626993568,0.9055425556748145,588.1919337831768,45.236623036896574,2.7103881105991854,0.0010935658245360585,0.22594170892157125,24.38010208870521,20.56560107039118,7.809296060657158,1.609842402649237,73.06282385600775,0.49225561923930533,0.9725773034039209,1.3256711913336074,2.7905041139768336,714.8503816034748
24,24,270,31.134259259259256,315.95943599164235,19.844182968626985,3.5332610992864377,0.5816761060426937,504.73495769024794,23.835367729835585,2.227482727434605,0.001508329429661871,0.33960407428147155,13.947518422586151,6.071828291666371,3.886212714479339,1.193528085631129,57.89575070870647,0.18499538097072143,0.38613070092252194,0.5140128354052619,1.0851389172985053,567.3347487342608
25,25,116,13.310185185185185,303.90704287242636,27.82963664784982,2.759710727438745,0.277683688353231,746.3630607368907,30.153917933845896,1.1941052499643017,0.0009332709812038841,0.06795189041732291,13.44596631752926,18.270697640065595,5.49142794106985,0.7201609761902779,84.42741061367386,0.4025565299244978,0.8013048829887027,1.2099323990252262,2.413793811938427,835.5430805150055
26,26,223,25.694444444444443,315.1778270032364,35.949813452183584,5.566903585120363,0.9565220140004689,601.3624371301939,41.78871692173926,3.288167615452828,0.001616080216116626,0.4065254410048953,23.126528252873904,16.34435177404309,6.952675277071092,1.8535361678204356,73.28297696766269,0.40974080488314363,0.7845037955460726,1.064968928459863,2.259213528889079,716.7304789877351
27,27,145,16.666666666666664,315.4536419770152,18.982501869246764,2.557231314037718,0.3241553224814381,816.9988636563926,21.243134766643312,1.2385217974272233,0.001368567788000676,0.08300687953504582,10.29405747077035,11.704700369525154,3.827700376990413,0.6205240510128344,88.56930649230553,0.2516367284157163,0.5406861837541832,0.7923604567341715,1.5846833689040711,879.1663923399843
28,28,135,15.509259259259258,315.5097127943491,27.738314912008345,3.4092058061313573,0.4278881014303308,466.5315256841516,30.809243910065394,1.6291896891474353,0.0006973933833119848,0.10680641994301487,16.13912929901597,15.822494314503441,5.503940111725803,0.9069198751796501,56.59851249288959,0.3827504568023793,0.7498458612212824,1.1724595800615996,2.305055898085261,555.1912821157549
29,29,146,16.78240740740741,314.86195384496955,55.003309983884876,7.1501092150024546,0.9636994378775495,692.9854186239496,61.55466131163789,3.424341274839209,0.0010684513291933206,0.2746588262655407,33.41347712581353,30.55920728610508,10.913066430950039,1.9146907218854565,89.05157100059841,0.7144624868751772,1.4780342715669352,2.125506232404767,4.31800299084688,869.0622345545737
30,30,126,14.467592592592592,312.2444221407501,14.191312796234914,1.5478779125079447,0.1913572125030674,572.12449068084,15.538172089209095,0.7563249752014004,0.0007665434215679784,0.04401059979780321,7.825371491645446,8.591953176628452,2.8448403941733074,0.3834860104976417,62.25390720053767,0.202812632337245,0.40602823338601807,0.5850998862743664,1.1939407519976295,617.4085331430128
31,31,121,13.888888888888888,315.7980690876044,23.100051934086032,2.583740811476459,0.25424081601332055,751.6270311857172,25.33937092010893,1.0614150859436973,0.0009808595804862929,0.06640918551472215,12.069883337291024,14.568291436004483,4.610994419803607,0.6206271836929182,83.38610722501225,0.34155419830410844,0.6862262479362891,1.038211400836559,2.0659918470769565,825.899145685019
32,32,120,13.773148148148147,313.5519789337188,20.759736765024325,2.203690833534739,0.22477977896596657,509.64157971078254,22.601504263471778,0.9724991706223943,0.000747173090294329,0.05881242949343924,10.679837698306923,13.303266646146373,4.054293521419111,0.611507475148819,58.3072885683928,0.30328667379635543,0.6180177978563373,0.9009862078751244,1.822290679527817,576.2547084472276
33,33,133,15.277777777777777,316.176022228081,36.992247294447395,4.822529224844056,0.518374295516204,628.9869757845439,41.52980187695451,1.8593009296711398,0.0008489642667530577,0.12595702433787034,21.88803378576757,21.23884748471594,7.41289664530128,1.1675003167512272,76.19858776650368,0.5079077144134314,1.0722849661055958,1.5115300363053057,3.091722716824333,747.7470025581747
34,34,180,20.71759259259259,315.94001861981053,28.630720023581716,4.6468105361029695,0.7455647100468973,500.45261526633476,33.563456116537935,2.207618713070737,0.0009449528747188532,0.18358028050004105,18.554895867210437,15.393633967025727,5.738371400483256,1.29536910474828,60.652333368944745,0.35338404169100496,0.7117466474157079,1.0871703252010336,2.1523010143077466,595.0109860856147
35,35,132,15.162037037037036,310.76757881961345,18.967548809610243,2.2425733663720395,0.254413529656555,520.0748407143809,20.938421655804152,1.0267019920663696,0.0007516681567031096,0.06057500304928152,10.921234749758797,11.149837845025214,3.7443652792719844,0.6011913924846837,58.7792577722077,0.26983200104825217,0.5377377363769453,0.7968610142472698,1.6044307516724674,580.6656520075505
36,36,132,15.162037037037036,315.0070225737867,20.41026349844854,2.2051477389306613,0.260853528639868,555.2452504807546,22.205213688921386,1.1474675742549834,0.0007898648074480004,0.06793306846980636,11.61535767517739,12.071121192391033,4.003884584457173,0.6190911348740415,62.74449088743485,0.28669768470001733,0.577235734063888,0.8208052787612572,1.6847386975251624,619.9217550524745
